235.2617 44.8133	-411.9640 10.8669
235.6663 46.8820	-50.8387 11.1682
235.6667 46.8823	-50.7344 11.1682
235.5720 46.9497	-65.1894 11.1484
235.4749 46.8868	-90.5574 11.0974
235.4749 46.8872	-90.5233 11.0983
235.3987 46.9175	-102.8723 11.1513
235.3447 46.8578	-129.1114 11.1116
235.3444 46.8575	-129.2440 11.1123
235.2684 46.9223	-152.3737 11.1948
235.2687 46.9220	-152.2303 11.1933
235.2135 46.8555	-217.1267 11.0796
235.2140 46.8554	-216.6989 11.0809
235.1231 46.8888	-343.0944 11.1398
235.1240 46.8887	-341.5939 11.1401
235.1123 46.8401	-381.5309 11.2217
235.1128 46.8402	-380.6514 11.2213
235.0064 46.8978	-545.8057 11.1514
235.0065 46.8981	-545.4623 11.1510
234.9546 46.8205	-693.4427 11.2366
234.8808 46.8885	-871.2667 11.1577
234.8810 46.8887	-870.9984 11.1580
234.6989 47.0004	-1743.7020 11.0448
235.0353 46.0248	-1055.9910 11.0632
235.0358 47.0249	-464.3946 11.2349
234.4839 46.7996	-1911.5680 11.2131
234.4999 46.8005	-1921.6555 11.0482
234.9995 46.6816	-874.3261 11.2226
235.2752 46.6998	-294.7236 11.1993
235.2752 46.7001	-294.2089 11.1994
235.6329 46.7298	-79.4566 11.1327
235.6332 46.7301	-79.3248 11.1324
235.0508 40.3268	-1456.5875 10.5840
235.2020 40.3511	-1280.4137 10.5812
235.1998 40.3260	-1175.5406 10.5233
235.3474 40.2732	-837.0541 10.5484
235.4903 40.2447	-372.0154 10.5427
235.4948 40.2528	-353.4950 10.5368
235.1004 40.3866	-1769.9423 10.6689
235.2147 40.3812	-1381.5918 10.6692
235.1933 40.3700	-1413.8824 10.5711
235.3404 40.3392	-870.0210 10.5754
235.3423 40.3379	-867.5110 10.5711
235.5402 40.3366	-211.4932 10.5099
235.5347 40.3347	-229.9616 10.5172
235.1915 40.4387	-1694.3053 10.5949
235.1963 40.4377	-1672.7618 10.5776
235.3181 40.4330	-948.3121 10.6189
235.3060 40.4328	-1023.9138 10.5648
235.4222 40.4292	-518.9265 10.5320
235.4225 40.4285	-519.8095 10.5342
235.4941 40.4371	-319.7459 10.5523
235.4895 40.4456	-310.9551 10.5481
235.1935 40.4931	-1815.4294 10.5495
235.1966 40.4937	-1796.9192 10.5464
235.4082 40.4955	-451.2005 10.5971
235.3961 40.4923	-507.8284 10.5248
235.4874 40.4926	-224.5103 10.5576
235.4753 40.4964	-245.0330 10.7276
235.2605 40.5381	-1342.4674 10.6625
235.2532 40.5378	-1403.3727 10.6599
235.4035 40.5598	-442.2446 10.5675
235.4030 40.5598	-445.4130 10.5217
235.4984 40.5682	-164.9845 10.5442
235.5333 40.6279	-147.2457 10.5360
234.9689 40.3895	-2044.8888 10.7328
235.2690 40.6124	-1336.0417 10.5407
235.5369 40.7151	-226.0749 10.5996
235.4161 40.7119	-599.4292 10.5815
235.2972 40.7609	-1081.2855 10.6193
235.4797 40.8000	-462.6150 10.7395
235.3992 39.9999	-891.4382 6.5091
234.7031 40.0486	-1840.8173 8.6494
234.7023 40.1603	-1770.7377 10.5252
233.8375 40.0591	-4050.5090 9.1204
233.8366 40.0580	-4051.2888 9.0895
233.8388 40.0587	-4048.4709 9.1095
233.0715 40.0585	-4382.8828 9.1582
233.2153 40.1577	-4339.5825 10.7606
232.2522 40.0706	-4477.7563 9.5786
232.1743 40.1430	-4431.4805 10.9190
235.2813 40.6568	-1271.5305 10.7577
235.2731 40.6665	-1316.7664 10.5541
234.4467 40.6779	-2924.8701 10.7154
234.4456 40.7888	-3011.4707 10.7234
233.6236 40.6875	-3136.7512 10.8124
233.5317 40.7845	-3137.2051 10.7420
232.7711 40.6869	-2928.6804 11.0419
231.9717 40.6840	-3074.2251 11.0827
232.0629 40.7482	-2947.7219 11.0301
235.6554 41.2839	-219.2646 10.5599
235.5668 41.3996	-285.9119 10.6701
235.0637 41.3016	-1626.8295 10.7667
234.7442 41.3047	-3123.0632 10.7105
234.2264 41.3074	-3049.5847 10.9117
233.9721 41.3316	-3065.0659 10.8205
233.3867 41.2987	-3044.3408 10.9487
233.1362 41.4516	-3053.3801 11.0329
232.5463 41.3160	-2892.7102 11.0037
232.5520 41.1227	-3086.3586 10.9939
231.7260 41.3092	-3098.9985 11.2385
231.9834 41.4336	-3070.0344 10.9393
235.4139 41.9199	-447.7580 10.6136
235.2733 41.9811	-622.4604 10.6755
234.8225 41.9249	-2266.1038 10.7352
234.6917 41.9838	-2953.4026 10.7274
233.9833 41.9166	-3073.1213 10.8515
234.0183 42.0013	-2940.4487 10.9682
233.2661 41.9428	-3027.8438 11.0132
232.5166 41.9772	-3017.8191 11.0639
232.3948 42.2174	-2884.1594 11.1175
231.6807 41.9550	-3158.9263 11.2446
231.6802 41.9565	-3159.9937 11.2445
235.2838 42.5483	-312.0953 10.7689
